Title;Link;Price;City
Subaru Outback 2022  Touring 2.5i CVT Lineartronic (188 к.с.) AWD;https://auto.ria.com/uk/newauto/auto-subaru-outback-1867738.html;41 000 $;Одеса
Subaru Forester 2022  Touring 2.5 Lineartronic (184 к.с.) AWD;https://auto.ria.com/uk/newauto/auto-subaru-forester-1817194.html;35 500 $;Одеса
Subaru Outback 2022  Limited 2.5i CVT Lineartronic (188 к.с.) AWD;https://auto.ria.com/uk/newauto/auto-subaru-outback-1863696.html;36 000 $;Одеса
Subaru XV 2021  Active 2.0i-S CVT Lineartronic (152 к.с.) AWD;https://auto.ria.com/uk/newauto/auto-subaru-xv-1873244.html;22 488 $;Дніпро (Дніпропетровськ)
